"","Date","Total.Cases","Active.Cases","Deaths","Inactive.Cases","Recoveries","New.Cases","New.Active.Cases","New.Inactive.Cases","New.Deaths","New.Recoveries"
"1","2020-02-15",28,19,0,9,9,0,0,0,0,0
"2","2020-02-16",29,20,0,9,9,1,1,0,0,0
"3","2020-02-17",30,20,0,10,10,1,0,1,0,1
"4","2020-02-18",31,19,0,12,12,1,-1,2,0,2
"5","2020-02-19",58,42,0,16,16,27,23,4,0,4
"6","2020-02-20",111,94,1,17,16,53,52,1,1,0
"7","2020-02-21",209,190,2,19,17,98,96,2,1,1
"8","2020-02-22",436,416,2,20,18,227,226,1,0,1
"9","2020-02-23",602,578,6,24,18,166,162,4,4,0
"10","2020-02-24",833,803,8,30,22,231,225,6,2,4
"11","2020-02-25",977,944,11,33,22,144,141,3,3,0
"12","2020-02-26",1261,1225,12,36,24,284,281,3,1,2
"13","2020-02-27",1766,1729,13,37,24,505,504,1,1,0
"14","2020-02-28",2337,2297,16,40,24,571,568,3,3,0
"15","2020-02-29",3150,3109,17,41,24,813,812,1,1,0
"16","2020-03-01",3736,3685,21,51,30,586,576,10,4,6
"17","2020-03-02",4335,4277,28,58,30,599,592,7,7,0
"18","2020-03-03",5186,5120,32,66,34,851,843,8,4,4
"19","2020-03-04",5621,5498,35,123,88,435,378,57,3,54
"20","2020-03-05",6284,6107,42,177,135,663,609,54,7,47
"21","2020-03-06",6593,6415,43,178,135,309,308,1,1,0
"22","2020-03-07",7041,6875,48,166,118,448,460,-12,5,-17
"23","2020-03-08",7313,7097,50,216,166,272,222,50,2,48
"24","2020-03-09",7478,7178,53,300,247,165,81,84,3,81
"25","2020-03-10",7513,7165,60,348,288,35,-13,48,7,41
"26","2020-03-11",7755,7362,60,393,333,242,197,45,0,45
"27","2020-03-12",7869,7293,66,576,510,114,-69,183,6,177
"28","2020-03-13",7979,7198,67,781,714,110,-95,205,1,204
"29","2020-03-14",8086,7180,72,906,834,107,-18,125,5,120
"30","2020-03-15",8162,7253,75,909,834,76,73,3,3,0
"31","2020-03-16",8236,7024,75,1212,1137,74,-229,303,0,303
"32","2020-03-17",8320,6838,81,1482,1401,84,-186,270,6,264
"33","2020-03-18",8413,6789,84,1624,1540,93,-49,142,3,139
"34","2020-03-19",8565,6527,91,2038,1947,152,-262,414,7,407
"35","2020-03-20",8652,6325,94,2327,2233,87,-202,289,3,286
"36","2020-03-21",8799,6085,102,2714,2612,147,-240,387,8,379
"37","2020-03-22",8897,5884,104,3013,2909,98,-201,299,2,297
"38","2020-03-23",8961,5684,111,3277,3166,64,-200,264,7,257
"39","2020-03-24",9037,5410,120,3627,3507,76,-274,350,9,341
"40","2020-03-25",9137,5281,126,3856,3730,100,-129,229,6,223
"41","2020-03-26",9241,4966,131,4275,4144,104,-315,419,5,414
"42","2020-03-27",9332,4665,139,4667,4528,91,-301,392,8,384
"43","2020-03-28",9478,4523,144,4955,4811,146,-142,288,5,283
"44","2020-03-29",9583,4398,152,5185,5033,105,-125,230,8,222
