"","Total.Cases","Active.Cases","Deaths","Inactive.Cases","Recoveries","New.Cases","New.Active.Cases","New.Inactive.Cases","New.Deaths","New.Recoveries","Infection.Factor","Mortality.Rate","Activity.Rate"
"US",960651,788233,54256,172418,118162,35419,26196,9223,2063,7160,0.0449346830188536,0.314677121878226,0.820519626794746
"UK",148377,127714,20319,20663,344,4913,4100,813,813,0,0.038468766149365,0.983351885011857,0.8607398720826
"IT",195351,105847,26384,89504,63120,2357,-680,3037,415,2622,0.0222679905901915,0.294780121558813,0.541829834503023
"ES",223759,105149,22902,118610,95708,3995,264,3731,378,3353,0.0379937041721747,0.193086586291206,0.469920762963724
"FR",161488,94280,22614,67208,44594,1660,190,1470,369,1101,0.0176071277047094,0.336477800261874,0.583820469632419
"DE",156513,40836,5877,115677,109800,1514,-1603,3117,117,3000,0.0370751297874424,0.0508052594724967,0.260911234210577
"NL",37190,32531,4409,4659,250,655,565,90,120,-30,0.020134640804156,0.946340416398369,0.874724388276418
"SE",18177,14980,2192,3197,1005,610,115,495,40,455,0.0407209612817089,0.685642790115733,0.824118391373714
"KR",10718,1843,240,8875,8635,10,-124,134,0,134,0.00542593597395551,0.0270422535211268,0.171953722709461
"CN",82816,838,4632,81978,77346,12,-77,89,0,89,0.0143198090692124,0.05650296420991,0.0101188176197836
