"","Total.Cases","Active.Cases","Deaths","Inactive.Cases","Recoveries","New.Cases","New.Active.Cases","New.Inactive.Cases","New.Deaths","New.Recoveries","Infection.Factor","Mortality.Rate","Activity.Rate"
"US",1064194,855127,61656,209067,147411,28429,20866,7563,2390,5173,0.03324535419885,0.294910244084432,0.803544278580785
"UK",165221,138780,26097,26441,344,4076,-343,4419,4419,0,0.0293702262573858,0.986989902046065,0.839965863903499
"IT",203591,104657,27682,98934,71252,2086,-548,2634,323,2311,0.0199317771386529,0.279802696747326,0.514055139961983
"FR",166420,94105,24087,72315,48228,509,-1260,1769,427,1342,0.00540885181446257,0.333084422319021,0.565466890998678
"ES",236899,79695,24275,157204,132929,4771,-4708,9479,453,9026,0.0598657381266077,0.15441719040228,0.336409187037514
"DE",161539,34672,6467,126867,120400,1627,-4137,5764,153,5611,0.0469254730041532,0.0509746427360937,0.214635475024607
"NL",38802,33841,4711,4961,250,386,241,145,145,0,0.0114062823202624,0.94960693408587,0.872145765682181
"SE",20302,16835,2462,3467,1005,681,574,107,107,0,0.0404514404514405,0.71012402653591,0.829228647423899
"KR",10761,1593,246,9168,8922,9,-61,70,2,68,0.00564971751412429,0.0268324607329843,0.148034569277948
"CN",82858,647,4633,82211,77578,22,-1,23,0,23,0.0340030911901082,0.0563549889917408,0.00780853991165609
