"","Total.Cases","Active.Cases","Deaths","Inactive.Cases","Recoveries","New.Cases","New.Active.Cases","New.Inactive.Cases","New.Deaths","New.Recoveries","Infection.Factor","Mortality.Rate","Activity.Rate"
"US",1408636,1028465,83425,380171,296746,22802,-13349,36151,1630,34521,0.0221709051839392,0.2194407253578,0.730114096189505
"UK",226463,193427,32692,33036,344,3403,2776,627,627,0,0.0175932005356026,0.989587117084393,0.854121865381983
"FR",178225,93449,26991,84776,57785,802,-607,1409,348,1061,0.00858222131858019,0.318380201943946,0.524331603310422
"IT",221216,81266,30911,139950,109039,1402,-1222,2624,172,2452,0.0172519873009623,0.22087173990711,0.367360407927094
"ES",269520,62130,26920,207390,180470,1377,-1423,2800,176,2624,0.0221632061805891,0.129803751386277,0.230520926090828
"NL",42984,37224,5510,5760,250,196,142,54,54,0,0.00526542015903718,0.956597222222222,0.865996649916248
"SE",27272,18988,3313,8284,4971,602,545,57,57,0,0.0317042342532126,0.399927571221632,0.696245233206219
"DE",173171,18233,7738,154938,147200,595,-1065,1660,77,1583,0.0326331377173257,0.0499425576682286,0.105288991805787
"KR",10936,1008,258,9928,9670,27,-13,40,2,38,0.0267857142857143,0.0259871071716358,0.0921726408193124
"CN",82919,115,4633,82804,78171,1,-26,27,0,27,0.00869565217391304,0.0559514033138496,0.00138689564514767
