"","Total.Cases","Active.Cases","Deaths","Inactive.Cases","Recoveries","New.Cases","New.Active.Cases","New.Inactive.Cases","New.Deaths","New.Recoveries","Infection.Factor","Mortality.Rate","Activity.Rate"
"UK",143464,123614,19506,19850,344,5386,4618,768,768,0,0.0435711165401977,0.982670025188917,0.861637762783695
"NL",36535,31966,4289,4569,280,806,664,142,112,30,0.0252142901833198,0.938717443641935,0.874941836595046
"SE",17567,14865,2152,2702,550,812,681,131,131,0,0.0546249579549277,0.796447076239822,0.846188876871407
"FR",159828,94090,22245,65738,43493,1645,-149,1794,389,1405,0.0174832607078329,0.338388755362195,0.588695347498561
"US",925232,762037,52193,163195,111002,38790,11753,27037,1957,25080,0.0509030401410955,0.319819847421796,0.823617211683124
"IT",192994,106527,25969,86467,60498,3021,-321,3342,420,2922,0.0283590075755442,0.300334231556548,0.551970527581168
"ES",219764,104885,22524,114879,92355,6740,3268,3472,367,3105,0.0642608571292368,0.196067166322827,0.477261971933529
"CN",82804,915,4632,81889,77257,6,-44,50,0,50,0.00655737704918033,0.0565643737254088,0.0110501908120381
"DE",154999,42439,5760,112560,106800,1870,-1815,3685,185,3500,0.0440632437145079,0.0511727078891258,0.273801766463009
"KR",10708,1967,240,8741,8501,6,-84,90,0,90,0.00305033045246568,0.0274568127216566,0.183694434067987
