"","Total.Cases","Active.Cases","Deaths","Inactive.Cases","Recoveries","New.Cases","New.Active.Cases","New.Inactive.Cases","New.Deaths","New.Recoveries","Infection.Factor","Mortality.Rate","Activity.Rate"
"UK",157149,135713,21092,21436,344,4209,3949,260,360,-100,0.0310139780271603,0.983952229893637,0.863594423127096
"NL",38245,33477,4518,4768,250,400,357,43,43,0,0.0119485019565672,0.94756711409396,0.875330108510916
"SE",18926,15647,2274,3279,1005,286,206,80,80,0,0.0182782642040008,0.693504117108875,0.826746274965656
"FR",165842,97036,23293,68806,45513,3742,2695,1047,437,610,0.0385630075435921,0.338531523413656,0.5851111298706
"US",1010356,814569,56797,195787,138990,23196,1603,21593,1384,20209,0.0284764089966596,0.290095869490824,0.806219787876748
"IT",199414,105813,26977,93601,66624,1739,-290,2029,333,1696,0.0164346535869884,0.288212732769949,0.530619715767198
"ES",229422,85069,23521,144353,120832,2793,-643,3436,331,3105,0.0328321715313451,0.162940846397373,0.370797046490746
"CN",82830,723,4633,82107,77474,3,-78,81,1,80,0.004149377593361,0.0564263704678042,0.00872872147772546
"DE",158758,38152,6126,120606,114480,988,-1642,2630,150,2480,0.0258964143426295,0.0507934928610517,0.240315448670303
"KR",10738,1731,243,9007,8764,10,-38,48,1,47,0.00577700751010976,0.0269790163206395,0.161203203576085
