"","Total.Cases","Active.Cases","Deaths","Inactive.Cases","Recoveries","New.Cases","New.Active.Cases","New.Inactive.Cases","New.Deaths","New.Recoveries","Infection.Factor","Mortality.Rate","Activity.Rate"
"UK",182260,153785,28131,28475,344,4806,4185,621,621,0,0.0312514224404201,0.98791922739245,0.843767145835619
"NL",40236,34999,4987,5237,250,445,351,94,94,0,0.0127146489899711,0.952262745846859,0.86984292673228
"SE",22082,18408,2669,3674,1005,562,546,16,16,0,0.0305302042590178,0.726456178551987,0.83362014310298
"FR",168396,93074,24760,75322,50562,1050,534,516,166,350,0.011281346025743,0.328722020126922,0.552709090477209
"US",1160774,920012,67444,240762,173318,29744,16298,13446,1691,11755,0.0323300130867858,0.280127262607887,0.792584947629771
"IT",209328,100704,28710,108624,79914,1900,-239,2139,474,1665,0.0188671750873848,0.264306230667256,0.481082320568677
"ES",245567,74234,25100,171333,146233,2579,-1480,4059,276,3783,0.0347414931163618,0.146498339490933,0.302296318316386
"CN",82875,557,4633,82318,77685,1,-42,43,0,43,0.00179533213644524,0.0562817366797055,0.0067209653092006
"DE",164967,29155,6812,135812,129000,890,-1286,2176,76,2100,0.0305264963128108,0.0501575707595794,0.176732316160202
"KR",10780,1407,250,9373,9123,6,-47,53,2,51,0.00426439232409382,0.0266723567694441,0.130519480519481
