"","Total.Cases","Active.Cases","Deaths","Inactive.Cases","Recoveries","New.Cases","New.Active.Cases","New.Inactive.Cases","New.Deaths","New.Recoveries","Infection.Factor","Mortality.Rate","Activity.Rate"
"UK",186599,157809,28446,28790,344,4339,4024,315,315,0,0.0274952632612842,0.988051406738451,0.845711927716654
"NL",40571,35265,5056,5306,250,335,266,69,69,0,0.00949950375726641,0.952883528081417,0.869216928347835
"SE",22317,18633,2679,3684,1005,235,225,10,10,0,0.0126120324156067,0.727198697068404,0.834924048931308
"FR",168693,93014,24895,75679,50784,297,-60,357,135,222,0.00319306771023717,0.32895519232548,0.55138031809263
"US",1188122,941261,68598,246861,178263,27348,21249,6099,1154,4945,0.0290546405300974,0.277881074774873,0.792225882527215
"IT",210717,100179,28884,110538,81654,1389,-525,1914,174,1740,0.0138651813254275,0.261303805026326,0.475419638662282
"ES",247122,73300,25264,173822,148558,1555,-934,2489,164,2325,0.0212141882673943,0.145344087629874,0.296614627592849
"CN",82877,531,4633,82346,77713,2,-26,28,0,28,0.00376647834274953,0.0562625992762247,0.00640708519854724
"DE",165664,28198,6866,137466,130600,697,-957,1654,54,1600,0.0247180651110008,0.0499468959597282,0.17021199536411
"KR",10793,1360,250,9433,9183,13,-47,60,0,60,0.00955882352941177,0.0265027032757341,0.126007597516909
