"","Total.Cases","Active.Cases","Deaths","Inactive.Cases","Recoveries","New.Cases","New.Active.Cases","New.Inactive.Cases","New.Deaths","New.Recoveries","Infection.Factor","Mortality.Rate","Activity.Rate"
"UK",201101,170681,30076,30420,344,6111,5462,649,649,0,0.0358036336792027,0.988691650230112,0.84873272634149
"NL",41319,35865,5204,5454,250,232,196,36,36,0,0.00646870207723407,0.954162082874954,0.868002613809628
"SE",23918,16903,2941,7015,4074,702,615,87,87,0,0.0415310891557712,0.419244476122594,0.706706246341667
"FR",174191,94410,25809,79781,53972,3640,2126,1514,278,1236,0.0385552377926067,0.323498075983003,0.541991262464766
"US",1263092,975312,74799,287780,212981,25459,10576,14883,2528,12355,0.0261034417704283,0.259917297935923,0.772162281132332
"IT",214457,91528,29684,122929,93245,1444,-6939,8383,369,8014,0.0157765929551613,0.241472720025381,0.426789519577351
"ES",253682,68466,25857,185216,159359,3121,-1764,4885,244,4641,0.0455846697630941,0.139604569799585,0.269889073722219
"CN",82883,339,4633,82544,77911,2,-56,58,0,58,0.00589970501474926,0.0561276410157007,0.00409010291615892
"DE",168162,23191,7275,144971,137696,1155,-1723,2878,282,2596,0.0498038031995171,0.0501824502831601,0.137908683293491
"KR",10806,1218,255,9588,9333,2,-49,51,1,50,0.00164203612479475,0.0265957446808511,0.112715158245419
